1st,58.4528,Quezon (MM),Metro Manila,NCR - National Capital Region,2,10.2592,2,12.8681,2,9.2227,2,14.2440,1,11.8588
2nd,57.4961,Manila,Metro Manila,NCR - National Capital Region,4,9.5426,12,11.0425,1,11.6643,5,13.6591,2,11.5876
3rd,57.0837,Pasay,Metro Manila,NCR - National Capital Region,1,13.2223,4,11.8563,3,9.1180,8,13.1662,4,9.7209
4th,51.2908,Davao,Davao Del Sur,REGION XI (Davao Region),3,9.9888,8,11.3809,6,7.5505,6,13.4685,7,8.9021
5th,49.8209,Muntinlupa,Metro Manila,NCR - National Capital Region,16,5.7849,25,9.1739,4,8.5502,1,18.0682,10,8.2437
6th,48.7075,Makati,Metro Manila,NCR - National Capital Region,5,8.8739,5,11.6329,5,7.7708,10,12.2246,11,8.2053
7th,48.1300,Iloilo,Iloilo,REGION VI (Western Visayas),12,6.1405,1,13.3121,7,6.6755,3,13.8708,12,8.1311
8th,46.4242,Cagayan De Oro,Misamis Oriental,REGION X (Northern Mindanao),13,5.9490,7,11.3863,8,6.3920,4,13.7502,6,8.9467
9th,45.2061,Bacolod (NO),Negros Occidental,REGION VI (Western Visayas),20,5.2099,6,11.3871,9,6.1328,12,12.1104,3,10.3659
10th,44.8891,Valenzuela,Metro Manila,NCR - National Capital Region,11,6.5038,11,11.1731,14,5.1584,7,13.3363,8,8.7175
11th,44.8071,Pasig,Metro Manila,NCR - National Capital Region,6,8.1034,9,11.3268,11,5.6032,13,12.0650,15,7.7087
12th,43.4796,General Santos,South Cotabato,REGION XII (Soccsksargen),28,4.4329,3,12.4917,19,4.8920,11,12.1921,5,9.4709
13th,42.7570,Caloocan,Metro Manila,NCR - National Capital Region,15,5.8576,14,10.6698,10,5.8276,15,12.0473,9,8.3547
14th,41.8057,Mandaue,Cebu,REGION VII (Central Visayas),7,7.2455,19,10.0939,18,4.9169,14,12.0498,18,7.4996
15th,40.9446,Mandaluyong,Metro Manila,NCR - National Capital Region,9,6.9222,22,9.6040,21,4.6178,17,11.8210,13,7.9796
16th,39.8952,Taguig,Metro Manila,NCR - National Capital Region,14,5.9136,16,10.4649,23,4.4623,29,11.2496,14,7.8048
17th,38.9157,Baguio,Benguet,CAR - Cordillera Administrative Region,23,4.8861,10,11.1791,30,3.4176,19,11.7789,16,7.6540
18th,38.8987,Puerto Princesa,Palawan,REGION IV-B (MIMAROPA),27,4.4599,17,10.2728,12,5.2679,23,11.6837,23,7.2144
19th,38.7138,Paranaque,Metro Manila,NCR - National Capital Region,10,6.7545,23,9.4538,13,5.1681,16,11.8765,29,5.4609
20th,37.9560,Malabon,Metro Manila,NCR - National Capital Region,24,4.7751,18,10.1132,20,4.8584,18,11.8006,26,6.4087
21st,37.7092,Zamboanga,Zamboanga City,REGION IX (Zamboanga Peninsula),18,5.3459,29,8.5752,22,4.5990,21,11.7425,19,7.4466
22nd,37.6813,Marikina,Metro Manila,NCR - National Capital Region,21,5.0984,13,10.7409,29,3.8106,26,11.5538,25,6.4776
23rd,37.4105,Tacloban,Leyte,REGION VIII (Eastern Visayas),29,4.2798,20,10.0764,26,4.1189,24,11.6446,21,7.2908
24th,36.6917,Cebu,Cebu,REGION VII (Central Visayas),8,7.0574,32,7.1760,15,5.1271,33,9.7167,17,7.6145
25th,36.5357,Angeles,Pampanga,REGION III (Central Luzon),25,4.6505,28,8.7562,24,4.4292,28,11.3744,20,7.3254
26th,35.7285,Navotas,Metro Manila,NCR - National Capital Region,33,3.3707,24,9.3150,31,3.4120,9,12.3604,22,7.2704
27th,35.4075,San Juan (MM),Metro Manila,NCR - National Capital Region,22,4.9639,15,10.4833,33,2.8204,25,11.5776,27,5.5623
28th,34.7612,Lucena,Quezon,REGION IV-A (CALABARZON),19,5.2168,31,8.0075,32,3.2411,20,11.7659,24,6.5299
29th,34.2015,Butuan,Agusan Del Norte,REGION XIII (Caraga),30,4.1416,26,9.1010,17,5.0037,31,10.6007,30,5.3545
30th,33.3199,Olongapo,Zambales,REGION III (Central Luzon),32,3.6399,21,9.7742,27,4.0016,32,10.3659,28,5.5383
31st,33.3183,Las Pinas,Metro Manila,NCR - National Capital Region,17,5.6187,27,8.7633,28,3.9999,27,11.4858,32,3.4506
32nd,32.1366,Lapu Lapu,Cebu,REGION VII (Central Visayas),26,4.6457,30,8.1144,25,4.3442,30,10.7527,31,4.2796
33rd,30.0436,Iligan,Lanao Del Norte,REGION X (Northern Mindanao),31,3.6683,33,6.7286,16,5.1212,22,11.7416,33,2.7839
